"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WV03"
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-01",,,,,," 0024","0.00",,"0.0","0.0",,"55","45",,,,,"   68",,,,"34.4","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-02",,,,,," 2136","0.09",,"0.0","0.0",,"68","52",,,,,"  315",,,,"33.3","    1",,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-03",,,,,," 0042","0.00",,"0.0","0.0",,"59","45",,,,,"  338",,,,"31.1",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-04",,,,,," 0748","0.00",,"0.0","0.0",,"50","42",,,,,"   45",,,,"18.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-05",,,,,," 2300","0.05",,"0.0","0.0",,"62","46",,,,,"   23",,,,"26.4","    1",,,,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-06",,,,,," 0000","1.10",,"0.0","0.0",,"52","45",,,,,"   23",,,,"28.9","    1",,"    1",,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-07",,,,,," 0212","0.00",,"0.0","0.0",,"52","33",,,,,"  315",,,,"23.0",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-08",,,,,," 1112","0.00",,"0.0","0.0",,"60","31",,,,,"   45",,,,"16.1","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-09",,,,,," 1330","0.00",,"0.0","0.0",,"66","35",,,,,"   23",,,,"13.9",,,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-10",,,,,," 1418","0.00",,"0.0","0.0",,"74","47",,,,,"  180",,,,"13.9","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-11",,,,,," 1742","0.00",,"0.0","0.0",,"69","53",,,,,"  135",,,,"11.4","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-12",,,,,," 1424","0.00",,"0.0","0.0",,"80","58",,,,,"  158",,,,"23.0","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-13",,,,,," 1700","0.00",,"0.0","0.0",,"81","63",,,,,"  180",,,,"20.8","    1",,,,,,,"    1",,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-14",,,,,," 1248","0.68",,"0.0","0.0",,"79","65",,,,,"  203",,,,"32.2","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-15",,,,,," 2148","0.00",,"0.0","0.0",,"71","50",,,,,"  360",,,,"19.5",,,,,,,,,,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-16",,,,,," 0936","0.00",,"0.0","0.0",,"60","43",,,,,"   68",,,,"21.9",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-17",,,,,," 1312","0.63",,"0.0","0.0",,"75","53",,,,,"  248",,,,"28.9","    1",,"    1",,,,,"    1",,,,,"    1",,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-18",,,,,," 1006","0.00",,"0.0","0.0",,"55","37",,,,,"  293",,,,"31.1",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-19",,,,,," 0130","0.00",,"0.0","0.0",,"43","31",,,,,"  338",,,,"27.5",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-20",,,,,," 1342","0.00",,"0.0","0.0",,"47","34",,,,,"  338",,,,"20.8",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-21",,,,,," 1000","0.00",,"0.0","0.0",,"50","27",,,,,"   45",,,,"18.3",,,,,,,,,,,,,,,,,
"USW00012916","NEW ORLEANS AIRPORT, LA US","1960-01-22",,,,,," 2200","0.00",,"0.0","0.0",,"55","25",,,,,"   23",,,,"20.8",,,,,,,,,,,,,,,,,
